Station,lat,long
State Theatre / Park Pl & N Washington St,38.882746000000004,-77.17003199999999
Washington Blvd & 7th St N,38.880779,-77.09075216666666
Commonwealth Ave & E Monroe Ave,38.82005823354218,-77.0628207921982
Eisenhower Ave & Ike Dr,38.802738,-77.0824626
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869417999999996,-77.095596
Fairfax Village,38.865590000000005,-76.95210300000001
New Jersey Ave & F St NW,38.897108,-77.011616
Spring St & 2nd Ave,38.997653,-77.034499
Alabama & MLK Ave SE,38.843262,-76.99943283333333
East West Hwy & 16th St,38.995681,-77.038721
Rhodes St & 16th St N,38.89220366666667,-77.07939916666666
Garland Ave & Walden Rd,39.00043566666667,-77.0007835
Arlington Blvd & Ft Myer Dr,38.890863,-77.074893
Oak Leaf & Lockwood,39.0379809,-76.9945391
Oglethorpe St & 42nd Ave,38.959347666666666,-76.94620283333333
Kenmore St & 24th St S,38.848454,-77.084918
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,38.961781,-77.08592966666667
3rd & Underwood St NW,38.968834,-77.016258
Minnesota Ave & R St SE,38.869336499999996,-76.97851899999999
Prince George's Plaza Metro,38.965742,-76.954803
Randle Circle & Minnesota Ave SE,38.878009999999996,-76.96075166666667
Southern Ave Metro,38.840107,-76.9753
Capitol Ave & Kendall St NE,38.910993,-76.985854
Pennsylvania & Minnesota Ave SE,38.873057,-76.97101500000001
Stanton Square SE,38.855004,-76.984512
Connecticut Ave & Chevy Chase Lake Dr,38.994113,-77.076986
Crystal Dr & Potomac Ave,38.848304,-77.05122
White Oak Rec Center,39.04617183333333,-76.9757515
6035 Warehouse,38.963809999999995,-77.010266
New Hampshire Ave & East-West Hwy,38.97423333333333,-76.995198
Trinidad Rec Center,38.906299,-76.983221
Monroe St & Monroe Pl,39.083673,-77.149162
Traville Gateway Dr & Gudelsky Dr,39.093783,-77.202501
Arlington Blvd & S George Mason Dr,38.869442,-77.10450300000001
Barton St & 10th St N,38.884961,-77.08776999999999
Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877
Branch & Pennsylvania Ave SE,38.869226833333336,-76.9596115
Reston Pkwy & Spectrum Dr,38.96420774100621,-77.35428035259247
Columbia Pike & S Oakland St,38.860789000000004,-77.09586
Key West Ave & Great Seneca Hwy,39.105641999999996,-77.20385999999999
Takoma Park Rec Center,38.98256233333333,-76.98835416666667
Silver Spring Transit Center - Top Level,38.994034850608365,-77.03037142753602
Wheaton Library & Community Rec Center,39.047323,-77.051097
Falls Church City Hall / Park Ave & Little Falls St,38.885395333333335,-77.17351716666667
Queens Chapel & Hamilton St,38.9546,-76.9595
Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862
N Pitt St & Montgomery St,38.814184999999995,-77.043809
Lee Center,38.797571000000005,-77.053786
13th St & Eastern Ave,38.986944666666666,-77.02935
Piccard & W Gude Dr,39.102212,-77.177091
Briggs Chaney & Castle Dr,39.081638,-76.945495
New Hampshire & Kirklynn Ave,38.98812383333333,-76.98839050000001
WAU / Flower Ave & Division St,38.986743,-77.000035
Fleet St & Ritchie Pkwy,39.076331,-77.141378
Castle Blvd & Castle Ln,39.085314000000004,-76.940547
E Montgomery Ave & Maryland Ave,39.084125,-77.151291
National Harbor Carousel,38.7859,-77.0167
Temporary Rd & Old Reston Ave,38.960084,-77.353414
Tanger Outlets,38.7968,-77.0026
Reston YMCA,38.9552925,-77.368391
The Shoppes @ Burnt Mills,39.031552833333336,-77.004186
George Mason High School / Haycock Rd & Leesburg Pike,38.895151833333344,-77.19020649999999
Stewart & April,39.0449444,-76.9811552
Fleet St & Waterfront St,38.782633000000004,-77.016059
Merrifield Cinema & Merrifield Town Center,38.870093,-77.22997
19th & Savannah St SE,38.84623,-76.97703
4th St & Mississippi Ave SE,38.836,-77.0009
