"QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","MKT_CARRIER_FL_NUM","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW",
2,6,15,6,2019-06-15,"2525","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","0809",-1.00,0.00,
2,6,15,6,2019-06-15,"2525","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1040",-3.00,0.00,
2,6,15,6,2019-06-15,"2572","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0856",-4.00,0.00,
2,6,15,6,2019-06-15,"2608","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1306",-9.00,0.00,
2,6,15,6,2019-06-15,"2613","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1757",-3.00,0.00,
2,6,15,6,2019-06-15,"2641","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0557",-3.00,0.00,
2,6,15,6,2019-06-15,"2834","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","0756",-4.00,0.00,
2,6,15,6,2019-06-15,"2918","DL",19790,11433,1143302,31295,"DTW",10821,1082106,30852,"BWI","2049",-6.00,0.00,
2,6,16,7,2019-06-16,"346","DL",19790,10821,1082106,30852,"BWI",14869,1486903,34614,"SLC","0723",-2.00,0.00,
2,6,16,7,2019-06-16,"875","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1703",-1.00,0.00,
2,6,16,7,2019-06-16,"875","DL",19790,10821,1082106,30852,"BWI",10397,1039707,30397,"ATL","1949",2.00,2.00,
2,6,16,7,2019-06-16,"880","DL",19790,10821,1082106,30852,"BWI",13487,1348702,31650,"MSP","0833",-2.00,0.00,
2,6,16,7,2019-06-16,"1101","DL",19790,13487,1348702,31650,"MSP",10821,1082106,30852,"BWI","2026",-4.00,0.00,
2,6,16,7,2019-06-16,"1153","DL",19790,10397,1039707,30397,"ATL",10821,1082106,30852,"BWI","1126",18.00,18.00,
